trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 05:20:00,-5.9987,106.022508,55.9,0.46556
1,2025-03-03 05:20:30,-5.99576,106.02448,64.1,0.53398
1,2025-03-03 05:21:00,-5.994449,106.027897,53.5,0.44579
1,2025-03-03 05:21:30,-5.991053,106.030344,55.7,0.46455
1,2025-03-03 05:22:00,-5.986705,106.032418,66.1,0.55117
1,2025-03-03 05:22:30,-5.983277,106.032351,50.0,0.41666
1,2025-03-03 05:23:00,-5.985999,106.035902,62.2,0.51846
1,2025-03-03 05:23:30,-5.988771,106.03956,61.1,0.50951
1,2025-03-03 05:24:00,-5.990028,106.042889,48.1,0.4006
1,2025-03-03 05:24:30,-5.98981,106.047896,66.8,0.55666
1,2025-03-03 05:25:00,-5.991755,106.051685,57.7,0.4812
1,2025-03-03 05:25:30,-5.994228,106.054331,48.2,0.40152
1,2025-03-03 05:26:00,-5.996702,106.056979,48.2,0.40182
1,2025-03-03 05:26:30,-5.99941,106.059877,52.8,0.43976
1,2025-03-03 05:27:00,-6.001922,106.062565,48.9,0.40779
1,2025-03-03 05:27:30,-6.004566,106.065592,53.5,0.44599
1,2025-03-03 05:28:00,-6.006865,106.068537,49.7,0.414
1,2025-03-03 05:28:30,-6.008875,106.071837,51.4,0.428
1,2025-03-03 05:29:00,-6.010563,106.074988,47.5,0.39621
1,2025-03-03 05:29:30,-6.012213,106.07843,50.7,0.42256
1,2025-03-03 05:30:00,-6.014209,106.082595,61.4,0.51131
1,2025-03-03 05:30:30,-6.016572,106.086318,58.6,0.48852
1,2025-03-03 05:31:00,-6.019167,106.089581,55.5,0.46261
1,2025-03-03 05:31:30,-6.022657,106.093139,66.4,0.55374
1,2025-03-03 05:32:00,-6.025968,106.096186,59.9,0.49912
1,2025-03-03 05:32:30,-6.029217,106.098267,51.4,0.4284
1,2025-03-03 05:33:00,-6.033314,106.100872,64.7,0.53901
1,2025-03-03 05:33:30,-6.037547,106.103563,66.8,0.55684
1,2025-03-03 05:34:00,-6.041183,106.106546,62.8,0.52295
1,2025-03-03 05:34:30,-6.043834,106.109123,49.2,0.41008
1,2025-03-03 05:35:00,-6.043834,106.109123,0.0,0.0
1,2025-03-03 05:35:30,-6.043834,106.109123,0.0,0.0
1,2025-03-03 05:36:00,-6.043834,106.109123,0.0,0.0
1,2025-03-03 05:36:30,-6.043834,106.109123,0.0,0.0
1,2025-03-03 05:37:00,-6.043834,106.109123,0.0,0.0
1,2025-03-03 05:37:30,-6.043834,106.109123,0.0,0.0
1,2025-03-03 05:38:00,-6.046457,106.112129,53.1,0.44229
1,2025-03-03 05:38:30,-6.049714,106.115669,64.1,0.53452
1,2025-03-03 05:39:00,-6.052493,106.117988,48.2,0.40155
1,2025-03-03 05:39:30,-6.055628,106.120154,50.9,0.42381
1,2025-03-03 05:40:00,-6.058893,106.12205,50.3,0.4195
1,2025-03-03 05:40:30,-6.06263,106.124029,56.4,0.46963
1,2025-03-03 05:41:00,-6.066197,106.125918,53.8,0.44832
